millis,stamp,DATE,TIME-FOO,TIME,HOUR,MIN,S,SECOND_FROM_MIDNIGHT,MILLIS_LAPSE,LAPSE,ENTER,EXIT,
6349, 2010/10/25:6:17:54EXIT, 2010/10/25,6:17:54EXIT,6:17:54,6,17,54,22674,,,0,1,
8396, 2010/10/25:6:17:56EXIT, 2010/10/25,6:17:56EXIT,6:17:56,6,17,56,22676,2047,2,0,1,
9675, 2010/10/25:6:17:57EXIT, 2010/10/25,6:17:57EXIT,6:17:57,6,17,57,22677,826,1,0,1,
11153, 2010/10/25:6:17:58EXIT, 2010/10/25,6:17:58EXIT,6:17:58,6,17,58,22678,1088,1,0,1,
12162, 2010/10/25:6:17:59EXIT, 2010/10/25,6:17:59EXIT,6:17:59,6,17,59,22679,897,0,0,1,
13295, 2010/10/25:6:18:1EXIT, 2010/10/25,6:18:1EXIT,6:18:1,6,18,1,22681,960,1,0,1,
14357, 2010/10/25:6:18:2EXIT, 2010/10/25,6:18:2EXIT,6:18:2,6,18,2,22682,913,1,0,1,
15381, 2010/10/25:6:18:3EXIT, 2010/10/25,6:18:3EXIT,6:18:3,6,18,3,22683,824,1,0,1,
16386, 2010/10/25:6:18:4EXIT, 2010/10/25,6:18:4EXIT,6:18:4,6,18,4,22684,876,1,0,1,
17427, 2010/10/25:6:18:5EXIT, 2010/10/25,6:18:5EXIT,6:18:5,6,18,5,22685,1041,1,0,1,
18367, 2010/10/25:6:18:6EXIT, 2010/10/25,6:18:6EXIT,6:18:6,6,18,6,22686,753,1,0,1,
19383, 2010/10/25:6:18:7EXIT, 2010/10/25,6:18:7EXIT,6:18:7,6,18,7,22687,869,1,0,1,
20269, 2010/10/25:6:18:8EXIT, 2010/10/25,6:18:8EXIT,6:18:8,6,18,8,22688,673,1,0,1,
21136, 2010/10/25:6:18:8EXIT, 2010/10/25,6:18:8EXIT,6:18:8,6,18,8,22688,706,0,0,1,
22046, 2010/10/25:6:18:9EXIT, 2010/10/25,6:18:9EXIT,6:18:9,6,18,9,22689,794,0,0,1,
22943, 2010/10/25:6:18:10EXIT, 2010/10/25,6:18:10EXIT,6:18:10,6,18,10,22690,772,1,0,1,
23839, 2010/10/25:6:18:11EXIT, 2010/10/25,6:18:11EXIT,6:18:11,6,18,11,22691,797,1,0,1,
34531, 2010/10/25:6:18:22EXIT, 2010/10/25,6:18:22EXIT,6:18:22,6,18,22,22702,10692,11,0,1,
42618, 2010/10/25:6:18:30EXIT, 2010/10/25,6:18:30EXIT,6:18:30,6,18,30,22710,7990,8,0,1,
43459, 2010/10/25:6:18:31EXIT, 2010/10/25,6:18:31EXIT,6:18:31,6,18,31,22711,841,1,0,1,
45848, 2010/10/25:6:18:33EXIT, 2010/10/25,6:18:33EXIT,6:18:33,6,18,33,22713,1924,2,0,1,
50031, 2010/10/25:6:18:37EXIT, 2010/10/25,6:18:37EXIT,6:18:37,6,18,37,22717,1184,1,0,1,
53210, 2010/10/25:6:18:41EXIT, 2010/10/25,6:18:41EXIT,6:18:41,6,18,41,22721,1690,2,0,1,
60320, 2010/10/25:6:18:48EXIT, 2010/10/25,6:18:48EXIT,6:18:48,6,18,48,22728,6910,7,0,1,
66037, 2010/10/25:6:18:53ENTRANCE, 2010/10/25,6:18:53ENTRANCE,6:18:53,6,18,53,22733,5717,5,1,0,
69505, 2010/10/25:6:18:57ENTRANCE, 2010/10/25,6:18:57ENTRANCE,6:18:57,6,18,57,22737,3373,4,1,0,
70917, 2010/10/25:6:18:58ENTRANCE, 2010/10/25,6:18:58ENTRANCE,6:18:58,6,18,58,22738,553,0,1,0,
135840, 2010/10/25:6:20:3EXIT, 2010/10/25,6:20:3EXIT,6:20:3,6,20,3,22803,64923,65,0,1,
136389, 2010/10/25:6:20:4EXIT, 2010/10/25,6:20:4EXIT,6:20:4,6,20,4,22804,549,1,0,1,
137390, 2010/10/25:6:20:5ENTRANCE, 2010/10/25,6:20:5ENTRANCE,6:20:5,6,20,5,22805,1001,1,1,0,
138408, 2010/10/25:6:20:6EXIT, 2010/10/25,6:20:6EXIT,6:20:6,6,20,6,22806,1018,1,0,1,
139096, 2010/10/25:6:20:7ENTRANCE, 2010/10/25,6:20:7ENTRANCE,6:20:7,6,20,7,22807,688,1,1,0,
139940, 2010/10/25:6:20:7EXIT, 2010/10/25,6:20:7EXIT,6:20:7,6,20,7,22807,655,0,0,1,
141029, 2010/10/25:6:20:8ENTRANCE, 2010/10/25,6:20:8ENTRANCE,6:20:8,6,20,8,22808,707,0,1,0,
142574, 2010/10/25:6:20:10EXIT, 2010/10/25,6:20:10EXIT,6:20:10,6,20,10,22810,1453,1,0,1,STEVE EXIT BUS
656315, 2010/10/25:6:28:45EXIT, 2010/10/25,6:28:45EXIT,6:28:45,6,28,45,23325,513601,515,0,1,
1032873, 2010/10/25:6:35:2ENTRANCE, 2010/10/25,6:35:2ENTRANCE,6:35:2,6,35,2,23702,376355,377,1,0,
1033911, 2010/10/25:6:35:3ENTRANCE, 2010/10/25,6:35:3ENTRANCE,6:35:3,6,35,3,23703,946,1,1,0,
1566698, 2010/10/25:6:43:56ENTRANCE, 2010/10/25,6:43:56ENTRANCE,6:43:56,6,43,56,24236,532787,533,1,0,
2990644, 2010/10/25:7:7:43ENTRANCE, 2010/10/25,7:7:43ENTRANCE,7:7:43,7,7,43,25663,1423946,1427,1,0,
3260774, 2010/10/25:7:12:13ENTRANCE, 2010/10/25,7:12:13ENTRANCE,7:12:13,7,12,13,25933,269968,270,1,0,
3386116, 2010/10/25:7:14:19ENTRANCE, 2010/10/25,7:14:19ENTRANCE,7:14:19,7,14,19,26059,125110,125,1,0,
3387208, 2010/10/25:7:14:20EXIT, 2010/10/25,7:14:20EXIT,7:14:20,7,14,20,26060,1092,1,0,1,
3388179, 2010/10/25:7:14:21ENTRANCE, 2010/10/25,7:14:21ENTRANCE,7:14:21,7,14,21,26061,971,1,1,0,
3389008, 2010/10/25:7:14:22EXIT, 2010/10/25,7:14:22EXIT,7:14:22,7,14,22,26062,666,1,0,1,
3390254, 2010/10/25:7:14:23ENTRANCE, 2010/10/25,7:14:23ENTRANCE,7:14:23,7,14,23,26063,1246,1,1,0,
3390886, 2010/10/25:7:14:24EXIT, 2010/10/25,7:14:24EXIT,7:14:24,7,14,24,26064,632,1,0,1,
3392206, 2010/10/25:7:14:25ENTRANCE, 2010/10/25,7:14:25ENTRANCE,7:14:25,7,14,25,26065,1090,1,1,0,
3393502, 2010/10/25:7:14:26EXIT, 2010/10/25,7:14:26EXIT,7:14:26,7,14,26,26066,807,1,0,1,
3394312, 2010/10/25:7:14:27EXIT, 2010/10/25,7:14:27EXIT,7:14:27,7,14,27,26067,555,0,0,1,
3395320, 2010/10/25:7:14:28EXIT, 2010/10/25,7:14:28EXIT,7:14:28,7,14,28,26068,809,1,0,1,
3396369, 2010/10/25:7:14:29ENTRANCE, 2010/10/25,7:14:29ENTRANCE,7:14:29,7,14,29,26069,1049,1,1,0,
3500184, 2010/10/25:7:16:13ENTRANCE, 2010/10/25,7:16:13ENTRANCE,7:16:13,7,16,13,26173,103692,104,1,0,
3577653, 2010/10/25:7:17:31ENTRANCE, 2010/10/25,7:17:31ENTRANCE,7:17:31,7,17,31,26251,76229,77,1,0,
3619423, 2010/10/25:7:18:13EXIT, 2010/10/25,7:18:13EXIT,7:18:13,7,18,13,26293,40573,41,0,1,
3620323, 2010/10/25:7:18:13ENTRANCE, 2010/10/25,7:18:13ENTRANCE,7:18:13,7,18,13,26293,530,0,1,0,
3737094, 2010/10/25:7:20:10EXIT, 2010/10/25,7:20:10EXIT,7:20:10,7,20,10,26410,116771,117,0,1,
3802052, 2010/10/25:7:21:16EXIT, 2010/10/25,7:21:16EXIT,7:21:16,7,21,16,26476,64958,66,0,1,
3803576, 2010/10/25:7:21:17ENTRANCE, 2010/10/25,7:21:17ENTRANCE,7:21:17,7,21,17,26477,813,1,1,0,
3804563, 2010/10/25:7:21:18EXIT, 2010/10/25,7:21:18EXIT,7:21:18,7,21,18,26478,878,1,0,1,
3808381, 2010/10/25:7:21:22ENTRANCE, 2010/10/25,7:21:22ENTRANCE,7:21:22,7,21,22,26482,2920,3,1,0,
3882643, 2010/10/25:7:22:36EXIT, 2010/10/25,7:22:36EXIT,7:22:36,7,22,36,26556,72625,73,0,1,
3886895, 2010/10/25:7:22:40ENTRANCE, 2010/10/25,7:22:40ENTRANCE,7:22:40,7,22,40,26560,4252,4,1,0,
3888870, 2010/10/25:7:22:42ENTRANCE, 2010/10/25,7:22:42ENTRANCE,7:22:42,7,22,42,26562,922,0,1,0,
4022159, 2010/10/25:7:24:56EXIT, 2010/10/25,7:24:56EXIT,7:24:56,7,24,56,26696,133289,134,0,1,
4073333, 2010/10/25:7:25:47EXIT, 2010/10/25,7:25:47EXIT,7:25:47,7,25,47,26747,51174,51,0,1,
4328207, 2010/10/25:7:30:3EXIT, 2010/10/25,7:30:3EXIT,7:30:3,7,30,3,27003,254667,256,0,1,
4473310, 2010/10/25:7:32:28EXIT, 2010/10/25,7:32:28EXIT,7:32:28,7,32,28,27148,144340,145,0,1,
4475670, 2010/10/25:7:32:30EXIT, 2010/10/25,7:32:30EXIT,7:32:30,7,32,30,27150,2360,2,0,1,
4478695, 2010/10/25:7:32:33EXIT, 2010/10/25,7:32:33EXIT,7:32:33,7,32,33,27153,2809,3,0,1,
4485238, 2010/10/25:7:32:40EXIT, 2010/10/25,7:32:40EXIT,7:32:40,7,32,40,27160,5947,6,0,1,
4513295, 2010/10/25:7:33:8ENTRANCE, 2010/10/25,7:33:8ENTRANCE,7:33:8,7,33,8,27188,27941,28,1,0,
4513824, 2010/10/25:7:33:8ENTRANCE, 2010/10/25,7:33:8ENTRANCE,7:33:8,7,33,8,27188,529,0,1,0,
4897862, 2010/10/25:7:39:33ENTRANCE, 2010/10/25,7:39:33ENTRANCE,7:39:33,7,39,33,27573,383739,384,1,0,
4903035, 2010/10/25:7:39:38EXIT, 2010/10/25,7:39:38EXIT,7:39:38,7,39,38,27578,5173,5,0,1,
5150111, 2010/10/25:7:43:46EXIT, 2010/10/25,7:43:46EXIT,7:43:46,7,43,46,27826,246890,247,0,1,
5450259, 2010/10/25:7:48:46ENTRANCE, 2010/10/25,7:48:46ENTRANCE,7:48:46,7,48,46,28126,299569,300,1,0,
5986233, 2010/10/25:7:57:43ENTRANCE, 2010/10/25,7:57:43ENTRANCE,7:57:43,7,57,43,28663,535858,536,1,0,
5986865, 2010/10/25:7:57:44ENTRANCE, 2010/10/25,7:57:44ENTRANCE,7:57:44,7,57,44,28664,632,1,1,0,
5988358, 2010/10/25:7:57:45EXIT, 2010/10/25,7:57:45EXIT,7:57:45,7,57,45,28665,858,0,0,1,
5989267, 2010/10/25:7:57:46ENTRANCE, 2010/10/25,7:57:46ENTRANCE,7:57:46,7,57,46,28666,828,0,1,0,
6078311, 2010/10/25:7:59:16ENTRANCE, 2010/10/25,7:59:16ENTRANCE,7:59:16,7,59,16,28756,89044,90,1,0,
6150644, 2010/10/25:8:0:28ENTRANCE, 2010/10/25,8:0:28ENTRANCE,8:0:28,8,0,28,28828,72333,72,1,0,
6266639, 2010/10/25:8:2:24ENTRANCE, 2010/10/25,8:2:24ENTRANCE,8:2:24,8,2,24,28944,115606,116,1,0,
6541250, 2010/10/25:8:6:59EXIT, 2010/10/25,8:6:59EXIT,8:6:59,8,6,59,29219,274434,275,0,1,
6817202, 2010/10/25:8:11:36ENTRANCE, 2010/10/25,8:11:36ENTRANCE,8:11:36,8,11,36,29496,275408,276,1,0,
6818232, 2010/10/25:8:11:37EXIT, 2010/10/25,8:11:37EXIT,8:11:37,8,11,37,29497,824,1,0,1,
6819835, 2010/10/25:8:11:38ENTRANCE, 2010/10/25,8:11:38ENTRANCE,8:11:38,8,11,38,29498,1359,1,1,0,
6922920, 2010/10/25:8:13:22EXIT, 2010/10/25,8:13:22EXIT,8:13:22,8,13,22,29602,102996,104,0,1,
6923751, 2010/10/25:8:13:22ENTRANCE, 2010/10/25,8:13:22ENTRANCE,8:13:22,8,13,22,29602,831,0,1,0,
6928559, 2010/10/25:8:13:27ENTRANCE, 2010/10/25,8:13:27ENTRANCE,8:13:27,8,13,27,29607,4689,5,1,0,
7056134, 2010/10/25:8:15:35ENTRANCE, 2010/10/25,8:15:35ENTRANCE,8:15:35,8,15,35,29735,127575,128,1,0,
7069023, 2010/10/25:8:15:48EXIT, 2010/10/25,8:15:48EXIT,8:15:48,8,15,48,29748,12600,13,0,1,
7138485, 2010/10/25:8:16:57ENTRANCE, 2010/10/25,8:16:57ENTRANCE,8:16:57,8,16,57,29817,69364,69,1,0,
7165195, 2010/10/25:8:17:24ENTRANCE, 2010/10/25,8:17:24ENTRANCE,8:17:24,8,17,24,29844,26350,26,1,0,
7306373, 2010/10/25:8:19:46EXIT, 2010/10/25,8:19:46EXIT,8:19:46,8,19,46,29986,140837,141,0,1,
7309375, 2010/10/25:8:19:49EXIT, 2010/10/25,8:19:49EXIT,8:19:49,8,19,49,29989,3002,3,0,1,
7339497, 2010/10/25:8:20:19EXIT, 2010/10/25,8:20:19EXIT,8:20:19,8,20,19,30019,29876,30,0,1,
7340119, 2010/10/25:8:20:19EXIT, 2010/10/25,8:20:19EXIT,8:20:19,8,20,19,30019,622,0,0,1,
7434369, 2010/10/25:8:21:54EXIT, 2010/10/25,8:21:54EXIT,8:21:54,8,21,54,30114,94146,94,0,1,
7956368, 2010/10/25:8:30:37ENTRANCE, 2010/10/25,8:30:37ENTRANCE,8:30:37,8,30,37,30637,521999,523,1,0,
7958045, 2010/10/25:8:30:38ENTRANCE, 2010/10/25,8:30:38ENTRANCE,8:30:38,8,30,38,30638,592,0,1,0,
7958793, 2010/10/25:8:30:39ENTRANCE, 2010/10/25,8:30:39ENTRANCE,8:30:39,8,30,39,30639,586,0,1,0,
7959501, 2010/10/25:8:30:40ENTRANCE, 2010/10/25,8:30:40ENTRANCE,8:30:40,8,30,40,30640,620,1,1,0,
7960857, 2010/10/25:8:30:41ENTRANCE, 2010/10/25,8:30:41ENTRANCE,8:30:41,8,30,41,30641,1356,1,1,0,
7961554, 2010/10/25:8:30:42EXIT, 2010/10/25,8:30:42EXIT,8:30:42,8,30,42,30642,614,1,0,1,
8083377, 2010/10/25:8:32:44ENTRANCE, 2010/10/25,8:32:44ENTRANCE,8:32:44,8,32,44,30764,121823,122,1,0,
8116929, 2010/10/25:8:33:18EXIT, 2010/10/25,8:33:18EXIT,8:33:18,8,33,18,30798,33552,34,0,1,
8118100, 2010/10/25:8:33:19ENTRANCE, 2010/10/25,8:33:19ENTRANCE,8:33:19,8,33,19,30799,705,1,1,0,
8686674, 2010/10/25:8:42:48ENTRANCE, 2010/10/25,8:42:48ENTRANCE,8:42:48,8,42,48,31368,568574,569,1,0,
8700990, 2010/10/25:8:43:3EXIT, 2010/10/25,8:43:3EXIT,8:43:3,8,43,3,31383,14316,15,0,1,
8942168, 2010/10/25:8:47:4EXIT, 2010/10/25,8:47:4EXIT,8:47:4,8,47,4,31624,241068,241,0,1,
9603462, 2010/10/25:8:58:6ENTRANCE, 2010/10/25,8:58:6ENTRANCE,8:58:6,8,58,6,32286,661294,662,1,0,
9711974, 2010/10/25:8:59:55ENTRANCE, 2010/10/25,8:59:55ENTRANCE,8:59:55,8,59,55,32395,108512,109,1,0,
9973809, 2010/10/25:9:4:17ENTRANCE, 2010/10/25,9:4:17ENTRANCE,9:4:17,9,4,17,32657,261835,262,1,0,
9975163, 2010/10/25:9:4:19EXIT, 2010/10/25,9:4:19EXIT,9:4:19,9,4,19,32659,1114,1,0,1,
